"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R22","R2512","-2555mil","-1435mil","-2555mil","-1435mil","-2555mil","-1320.827mil","B","270.00","1"
"R8","R2512","-2845mil","-1435mil","-2845mil","-1435mil","-2845mil","-1320.827mil","B","270.00","1"
"C18","C0805","-695mil","-1780mil","-695mil","-1780mil","-661.535mil","-1780mil","B","180.00","1.0uF"
"U7","SOT95P245X145-5L","-370mil","-1950mil","-370mil","-1950mil","-332.598mil","-1994.291mil","B","90.00","M74VHC1GT50DTT1G"
"U5","SOT95P245X145-5L","-550mil","-1950mil","-550mil","-1950mil","-512.598mil","-1994.291mil","B","90.00","M74VHC1GT50DTT1G"
"U4","SOT95P245X145-5L","-900mil","-1750mil","-900mil","-1750mil","-862.598mil","-1794.291mil","B","90.00","M74VHC1GT50DTT1G"
"U3","SOT95P245X145-5L","-550mil","-150mil","-550mil","-150mil","-512.598mil","-194.291mil","B","90.00","M74VHC1GT50DTT1G"
"U1","SOT95P245X145-5L","-375mil","-150mil","-375mil","-150mil","-337.598mil","-194.291mil","B","90.00","M74VHC1GT50DTT1G"
"R3","R0603","-1180mil","-1730mil","-1180mil","-1730mil","-1207.559mil","-1730mil","B","360.00","10k"
"R1","R0603","-1075mil","-1765mil","-1075mil","-1765mil","-1102.559mil","-1765mil","B","360.00","10k"
"C13","C0603","-370mil","-1950mil","-370mil","-1950mil","-397.559mil","-1950mil","T","360.00","0.1uF"
"C10","C0603","-550mil","-1950mil","-550mil","-1950mil","-577.559mil","-1950mil","T","360.00","0.1uF"
"C8","C0603","-800mil","-1745mil","-800mil","-1745mil","-800mil","-1772.559mil","B","90.00","0.1uF"
"C6","C0603","-550mil","-150mil","-550mil","-150mil","-577.559mil","-150mil","T","0.00","0.1uF"
"C3","C0603","-375mil","-150mil","-375mil","-150mil","-402.559mil","-150mil","T","0.00","0.1uF"
"U6","FREESCALE_HSOP-20","-1150mil","-1425mil","-1150mil","-1425mil","-925mil","-1161.221mil","T","270.00","MC33887APVW"
